dateRep,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
14/12/2020,746,6,Afghanistan,AF,AFG,38041757.0,Asia,9.01377925
13/12/2020,298,9,Afghanistan,AF,AFG,38041757.0,Asia,7.05277624
12/12/2020,113,11,Afghanistan,AF,AFG,38041757.0,Asia,6.86876792
11/12/2020,63,10,Afghanistan,AF,AFG,38041757.0,Asia,7.13426564
10/12/2020,202,16,Afghanistan,AF,AFG,38041757.0,Asia,6.96865815
09/12/2020,135,13,Afghanistan,AF,AFG,38041757.0,Asia,6.96340077
08/12/2020,200,6,Afghanistan,AF,AFG,38041757.0,Asia,7.09483529
07/12/2020,210,26,Afghanistan,AF,AFG,38041757.0,Asia,7.21575505
06/12/2020,234,10,Afghanistan,AF,AFG,38041757.0,Asia,7.32616004
05/12/2020,235,18,Afghanistan,AF,AFG,38041757.0,Asia,7.11586481
04/12/2020,119,5,Afghanistan,AF,AFG,38041757.0,Asia,7.10797874
03/12/2020,202,19,Afghanistan,AF,AFG,38041757.0,Asia,7.53645527
02/12/2020,400,48,Afghanistan,AF,AFG,38041757.0,Asia,7.00545982
01/12/2020,272,11,Afghanistan,AF,AFG,38041757.0,Asia,6.96077208
30/11/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,6.41663317
29/11/2020,228,11,Afghanistan,AF,AFG,38041757.0,Asia,6.845109700000001
28/11/2020,214,15,Afghanistan,AF,AFG,38041757.0,Asia,6.78464983
27/11/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,6.39560365
26/11/2020,200,12,Afghanistan,AF,AFG,38041757.0,Asia,7.34193218
25/11/2020,185,13,Afghanistan,AF,AFG,38041757.0,Asia,7.1999829
24/11/2020,246,17,Afghanistan,AF,AFG,38041757.0,Asia,6.71367519
23/11/2020,252,8,Afghanistan,AF,AFG,38041757.0,Asia,6.655844
22/11/2020,154,12,Afghanistan,AF,AFG,38041757.0,Asia,6.20370926
21/11/2020,232,25,Afghanistan,AF,AFG,38041757.0,Asia,6.13010593
20/11/2020,282,5,Afghanistan,AF,AFG,38041757.0,Asia,5.6727138
19/11/2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,5.03657073
18/11/2020,383,13,Afghanistan,AF,AFG,38041757.0,Asia,5.35464227
17/11/2020,65,6,Afghanistan,AF,AFG,38041757.0,Asia,4.57392123
16/11/2020,163,9,Afghanistan,AF,AFG,38041757.0,Asia,4.65278194
